datetime,peak_power,loss
2025/10/10 8:00,-79.3215178,0.761517797
2025/10/10 9:00,-79.42178727,0.861787274
2025/10/10 10:00,-79.41116122,0.851161219
2025/10/10 11:00,-79.54264544,0.982645444
2025/10/10 12:00,-79.4859524,0.925952396
2025/10/10 13:00,-80.11933715,1.559337154
2025/10/10 14:00,-81.90766937,3.347669375
2025/10/10 15:00,-81.73464232,3.17464232
2025/10/10 16:00,-80.6396898,2.079689803
2025/10/10 17:00,-80.95223825,2.392238249
2025/10/10 18:00,-83.20131531,4.641315308
2025/10/10 19:00,-82.98214556,4.422145558
2025/10/10 20:00,-86.57022697,8.010226971
2025/10/10 21:00,-84.8749434,6.314943399
2025/10/10 22:00,-83.30373706,4.743737056
2025/10/10 23:00,-81.90188433,3.341884328
2025/10/11 0:00,-81.84889684,3.288896839
2025/10/11 1:00,-80.91031287,2.350312873
2025/10/11 2:00,-80.44044006,1.880440056
2025/10/11 3:00,-79.97756144,1.417561435
2025/10/11 4:00,-79.67343523,1.113435231
2025/10/11 5:00,-79.57071289,1.010712888
2025/10/11 6:00,-79.38289548,0.822895479
2025/10/11 7:00,-79.31724345,0.757243445
2025/10/11 8:00,-79.28390838,0.723908382
2025/10/11 9:00,-79.35395854,0.79395854
2025/10/11 10:00,-79.32648984,0.766489844
2025/10/11 11:00,-79.31755376,0.757553756
2025/10/11 12:00,-79.30922347,0.749223474
2025/10/11 13:00,-79.31509453,0.755094534
2025/10/11 14:00,-79.30021206,0.740212056
2025/10/11 15:00,-79.39406657,0.834066572
2025/10/11 16:00,-79.27723423,0.717234232
2025/10/11 17:00,-79.38696781,0.826967815
2025/10/11 18:00,-79.2760841,0.716084097
2025/10/11 19:00,-79.30647529,0.746475288
2025/10/11 20:00,-79.30314036,0.743140362
2025/10/11 21:00,-79.32570771,0.765707709
2025/10/11 22:00,-79.33713719,0.777137191
2025/10/11 23:00,-79.29089357,0.730893574
2025/10/12 0:00,-79.36382202,0.803822018
2025/10/12 1:00,-79.32792544,0.767925441
2025/10/12 2:00,-79.29792342,0.737923421
2025/10/12 3:00,-79.29257096,0.732570965
2025/10/12 4:00,-79.35012582,0.790125823
2025/10/12 5:00,-79.25713865,0.697138649
2025/10/12 6:00,-79.23200498,0.672004975
2025/10/12 7:00,-79.18330108,0.623301084
2025/10/12 8:00,-79.23935261,0.679352608
2025/10/12 9:00,-79.26132975,0.701329755
2025/10/12 10:00,-79.27928631,0.719286306
2025/10/12 11:00,-79.3240593,0.7640593
2025/10/12 12:00,-79.30402461,0.744024608
2025/10/12 13:00,-79.31995361,0.759953608
2025/10/12 14:00,-79.3610372,0.801037202
2025/10/12 15:00,-79.33932143,0.77932143
2025/10/12 16:00,-79.28865792,0.728657921
2025/10/12 17:00,-79.23892146,0.678921461
2025/10/12 18:00,-79.31908069,0.759080689
2025/10/12 19:00,-79.23374994,0.673749936
2025/10/12 20:00,-79.19235152,0.632351524
2025/10/12 21:00,-79.19652759,0.636527589
2025/10/12 22:00,-79.23084238,0.670842383
2025/10/12 23:00,-79.2412501,0.681250103
2025/10/13 0:00,-79.25822922,0.69822922
2025/10/13 1:00,-79.21117071,0.651170706
2025/10/13 2:00,-79.19734407,0.637344074
2025/10/13 3:00,-79.2101171,0.650117103
2025/10/13 4:00,-79.15863345,0.598633447
2025/10/13 5:00,-79.18958829,0.629588293
2025/10/13 6:00,-79.157146,0.597146003
2025/10/13 7:00,-79.18212086,0.622120864
2025/10/13 8:00,-79.28389767,0.72389767
2025/10/13 9:00,-79.35117343,0.791173429
2025/10/13 10:00,-79.38804001,0.828040005
2025/10/13 11:00,-79.5005013,0.940501295
2025/10/13 12:00,-79.44428289,0.884282891
2025/10/13 13:00,-79.44129054,0.881290541
2025/10/13 14:00,-79.41632032,0.856320317
2025/10/13 15:00,-79.41905281,0.859052813
2025/10/13 16:00,-79.39421865,0.83421865
2025/10/13 17:00,-79.30906452,0.749064521
2025/10/13 18:00,-79.30031718,0.740317177
2025/10/13 19:00,-79.28103233,0.721032328
2025/10/13 20:00,-79.33285185,0.772851848
2025/10/13 21:00,-79.29651572,0.736515715
2025/10/13 22:00,-79.32231759,0.762317594
2025/10/13 23:00,-79.30619483,0.746194832
2025/10/14 0:00,-79.24817823,0.688178234
2025/10/14 1:00,-79.3273377,0.767337699
2025/10/14 2:00,-79.27710628,0.717106278
2025/10/14 3:00,-79.19532689,0.635326894
2025/10/14 4:00,-79.21547117,0.655471172
2025/10/14 5:00,-79.22676948,0.666769481
2025/10/14 6:00,-79.22527398,0.665273978
2025/10/14 7:00,-79.16785106,0.607851064
2025/10/14 8:00,-79.27581,0.715809997
2025/10/14 9:00,-79.35745969,0.797459686
2025/10/14 10:00,-79.39663361,0.836633605
2025/10/14 11:00,-79.48601843,0.926018431
2025/10/14 12:00,-79.49142669,0.931426685
2025/10/14 13:00,-79.38687191,0.826871906
2025/10/14 14:00,-79.37981522,0.819815225
2025/10/14 15:00,-79.38873128,0.828731283
2025/10/14 16:00,-79.35635545,0.79635545
2025/10/14 17:00,-79.36844058,0.808440579
2025/10/14 18:00,-79.33529315,0.775293146
2025/10/14 19:00,-79.33353305,0.773533053
2025/10/14 20:00,-79.31378063,0.753780629
2025/10/14 21:00,-79.27549675,0.715496752
2025/10/14 22:00,-79.29134876,0.73134876
2025/10/14 23:00,-79.23101674,0.671016738
2025/10/15 0:00,-79.2523347,0.692334698
2025/10/15 1:00,-79.24246736,0.682467362
2025/10/15 2:00,-79.26220952,0.702209524
2025/10/15 3:00,-79.26258315,0.702583148
2025/10/15 4:00,-79.28471864,0.724718642
2025/10/15 5:00,-79.30281993,0.742819928
2025/10/15 6:00,-79.3009085,0.7409085
2025/10/15 7:00,-79.27651035,0.716510346
2025/10/15 8:00,-79.27061115,0.710611149
2025/10/15 9:00,-79.26767825,0.707678249
2025/10/15 10:00,-79.29968584,0.739685835
2025/10/15 11:00,-79.37405128,0.814051276
2025/10/15 12:00,-79.41722316,0.857223165
2025/10/15 13:00,-79.51818523,0.958185235
2025/10/15 14:00,-79.48395608,0.923956079
2025/10/15 15:00,-79.4991895,0.939189499
