datetime,peak_freq,peak_power,peak_phase_rad,bandwidth_30db,bandwidth_20db,bandwidth_3db,dynamic_range,average_power_dbm,noise_floor_dBm,snr_db,centroid_freq,variance_freq,skewness_freq,kurtosis_freq,fluctuation_coeff,papr_linear,spectral_concentration,envelope_std,envelope_rms,linear_mean_deg,linear_std_deg,doppler_spread,avg_phase_change_rate_deg_per_sample,phase_rate_rms_deg,drift_rate_rms,avg_freq_offset
2025-10-03 21:50:00,0.4276094276094276,-79.52725464505389,-0.02453624324970847,496.55555555555554,8.521885521885523,0.5353535353535354,80.58054876172606,-76.24801517081735,-127.95385937830702,48.426604733253136,-8.627719372301687,150940.23294050473,-0.2953561063518423,14.934288715774883,0.48192577019838456,3.4477456872070107,0.4974221130856682,8.508014538052039e-06,3.444208521762618e-05,-0.6865658663192681,8.657370417981827e-05,258.361322331335,17.57495862634363,93012.63728939914,1663803.498456448,-107.57452921047646
2025-10-03 22:00:00,-1.7818791946308725,-79.46227942144229,0.02206777689058066,413.4161073825503,8.476510067114093,0.47651006711409394,80.2545084108691,-76.24828502421067,-127.97374070334597,48.51146128190368,-10.817408907496615,150998.0572097265,-0.28230194935153446,14.933551156607868,0.48142165738233794,3.462440761130251,0.5023650856871182,8.494426824699144e-06,3.444100811968247e-05,-1.0022546656982643,6.291509036673003e-05,258.4603678417937,17.59642648241297,93051.7953568518,1665255.4290009092,-109.6468811612569
2025-10-03 22:10:00,-0.47315436241610737,-79.63473946975525,0.007690654823666959,482.56375838926175,8.60738255033557,0.5637583892617449,80.380548690199,-76.26244916802165,-127.98893377356981,48.35419430381456,-9.699407499130675,151308.4013563734,-0.29130245917128283,14.906360363404785,0.4821437232598302,3.45075110991291,0.48460864357186506,8.491399321386181e-06,3.438498956886316e-05,6.016740432207617,8.809451259003303e-05,258.5820099212812,17.605615851263735,93091.90638433873,1666609.0121385588,-108.5367975725006
2025-10-03 22:20:00,-5.154362416107382,-79.5558456710386,0.09739375891419594,392.996644295302,8.751677852348994,0.5201342281879194,80.87437091377515,-76.26617755740452,-127.96851688481578,48.412671213777195,-13.97083238148308,151314.4226027993,-0.2580409727820702,14.909814433938779,0.48262436137843134,3.4378991116661934,0.49256105702616976,8.49380366492327e-06,3.437043736780453e-05,-4.621724284481948,3.507347982817314e-05,258.866356028956,17.62301581908331,93219.0754356744,1666071.7330055626,-112.9627471451161
2025-10-03 22:30:00,-7.060402684563758,-79.61980446924099,-0.18439048908526898,369.758389261745,8.577181208053691,0.5805369127516778,80.52205804717748,-76.26543187474732,-127.97400063831576,48.35419616907477,-15.5473216297026,151308.66843375468,-0.24491511827044693,14.907901693109856,0.48226688737150863,3.5088770681275983,0.4871986018187921,8.492355906121832e-06,3.437331165264713e-05,6.007473975881121,1.4655735071212369e-05,258.82801433561184,17.621935824694248,93217.5513798558,1668662.3941993928,-114.96755285629554
2025-10-03 22:40:00,-5.531986531986532,-79.52899975784243,0.07145413170541792,331.4040404040404,8.599326599326599,0.5353535353535354,80.96148690365736,-76.26308643832574,-127.96686105994876,48.43786130210631,-14.601859959629525,150956.893706033,-0.26281099483048587,14.949512416356137,0.48210854075060305,3.4365769428422417,0.4981137089598565,8.493499653552873e-06,3.438247233377985e-05,-3.2236020651181923,1.783225061644058e-05,258.56475286835376,17.58110130467052,93109.28812250274,1663907.6902140325,-113.51336486119605
2025-10-03 22:50:00,-4.523489932885906,-79.64559318237897,0.10208576939171612,299.1140939597315,8.684563758389261,0.6140939597315436,80.390393801386,-76.26428614494165,-127.98173700669709,48.33614382431813,-13.781568301602157,150999.80071675143,-0.2669409772079594,14.954190534255495,0.4817364432308084,3.4731801481280944,0.48591088120954307,8.483376005706908e-06,3.4377822086779794e-05,-5.349972435595893,2.9673814179130482e-05,258.42748979064976,17.56794260137061,93056.21531917753,1663079.0816152876,-112.63190029403702
2025-10-03 23:00:00,-0.45791245791245794,-79.66553936074355,0.04215369224804693,250.08080808080808,8.781144781144782,0.6060606060606061,79.89821111712764,-76.2545206628581,-127.96104164883903,48.29550228809548,-9.9993944032814,151032.4779648049,-0.2862016349898438,14.955102714840727,0.48132602855262885,3.452986907771989,0.4815476779944541,8.486422266062042e-06,3.4416423229794795e-05,-2.36916685855479,7.040513854788691e-05,258.3663803089079,17.58724117723363,93015.7702820192,1665909.8060202752,-108.42447967032997
2025-10-03 23:10:00,4.775167785234899,-79.51355232298101,0.07012216323969152,195.54026845637583,8.426174496644295,0.5838926174496645,80.22158368826592,-76.25286123891159,-127.97644915976322,48.462896836782186,-5.8330904839863775,151138.84519181977,-0.3324237254378352,14.9405086475058,0.48089749039953084,3.435051725453321,0.5000561686734003,8.483919076703811e-06,3.442290141963733e-05,-2.8838474285431617,2.8914139448468236e-05,258.1613574431032,17.577806256438034,92960.15874284046,1664472.5843213452,-103.23847815478611
2025-10-03 23:20:00,14.747474747474747,-79.6476420720995,0.08769413041748361,201.02693602693603,8.774410774410775,0.6262626262626263,79.8750053023807,-76.24834364124185,-127.97224979031564,48.32460771821616,2.981567138439575,150988.127318226,-0.3972720038999821,14.96912168322427,0.4805659943080769,3.3979143875944784,0.48483758488995166,8.479681793537998e-06,3.4441073710136516e-05,-4.647177454169263,4.0218576087414816e-06,258.2173358140844,17.588451299112705,93117.13360951061,1663812.6243467254,-93.28685107871232
