d,cc,z,tall,o3,pv,r,ciwc,clwc,q,crwc,cswc,t,u,v,w,vo
-2.2558381e-06,0.0007810256666666,48184.251833333336,4913.4262806,1.1580117666666669e-07,3.368887333333334e-07,65.56210733333333,2.782074166666668e-08,8.899392966666667e-07,0.004002472,2.632133333333333e-06,3.577145e-08,269.20225166666665,16.3327368,1.5565449166666667,0.0004012888333333,-2.371333333333333e-05
-8.006839733333334e-06,0.0039063698333333,48212.647800000006,4916.321863149999,1.1640938066666669e-07,3.297596633333334e-07,68.15943183333333,2.7815865e-07,2.439401488333333e-06,0.0040789228333333,2.699912544666667e-06,1.2120586733333332e-06,269.339475,16.29828065,1.6007917666666664,0.0553377479999999,-2.789e-05
-7.13877466e-06,0.0046873955,48212.70178333333,4916.327367916667,1.1624864833333333e-07,3.237130183333333e-07,68.81858166666667,5.5599996666666665e-08,3.5837094000000003e-06,0.004021796,9.038666e-07,3.5999324566666662e-06,269.36245833333334,15.821258783333334,1.2678257916666666,-0.0476957415,-2.6621666666666663e-05
-1.4607811666666667e-05,0.0299475156666666,48181.15063333334,4913.1100461333335,1.1478997916666666e-07,3.444489816666666e-07,74.05760500000001,3.9184813e-06,2.9405847733333333e-06,0.0040267006666666,8.011396333333333e-07,2.737227193333333e-05,268.966285,14.825395933333333,0.7774532000000001,-0.1292331343333333,-2.3905e-05
-9.4718134e-06,0.0828155918333333,48144.29643333334,4909.3519637,1.1378326166666669e-07,3.963489033333333e-07,78.51559183333333,1.0524889974166668e-05,1.811985273333333e-06,0.0040638858333333,8.957190653333334e-07,7.232057266666666e-05,268.60185,13.959539,0.5512082600000001,0.0247611895,-2.1911666666666666e-05
-8.217480733333332e-06,0.0961052333333333,48107.48926666667,4905.598677,1.1347881933333336e-07,4.406987366666667e-07,77.71700266666666,1.07702426e-05,9.694768566666667e-07,0.004010108,1.5197923215833334e-06,9.543315233333336e-05,268.56406166666665,13.322006333333334,0.1365932299999999,0.1476429668333333,-1.99027345e-05
2.7832361666666653e-06,0.1411590856666666,48079.468166666666,4902.741320116666,1.13413469e-07,4.575059366666667e-07,75.03197666666667,7.363514835e-06,7.231625466666667e-07,0.0039435551666666,1.982857333333333e-06,0.0001258192745,268.7412533333333,13.05175249,0.3152617524999999,0.1505319001666666,-2.22540515e-05
-9.70489195e-06,0.158084448,48080.84051666667,4902.88126095,1.1289051e-07,5.605243633333333e-07,75.77789016666667,1.1321174556666665e-05,4.927116333333333e-07,0.0039779933333333,2.6494841666666668e-06,0.0001202240378333,268.7757433333333,12.616866116666666,0.8234027133333335,0.1058883173333333,-1.0063416616666669e-05
-8.867753e-06,0.1692815373333333,48088.12883333333,4903.624462333334,1.1232971016666668e-07,5.42866855e-07,76.02185,2.05244001e-05,3.258359916666667e-07,0.0039679323333333,1.6979678333333333e-06,9.20327575e-05,268.790205,11.978519416666666,1.074347495,0.0512802583333333,-9.843349666666666e-06
4.7981218333333335e-06,0.2515672713333333,48068.37796666666,4901.610434316667,1.1252788750000006e-07,5.530386816666667e-07,86.39206116666666,2.4094774415e-05,3.95740707e-06,0.0043718031666666,1.7740591005e-06,8.553910333333334e-05,268.78178,11.033666333333334,2.727722775,-0.0895667866666666,-5.1742405e-06
