d,cc,z,tall,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo
2.6245944142857144e-05,0.5131705371428571,130550.32071428571,13312.427864285712,2.3489578714285722e-07,2.5038608195714285e-06,65.17622128571428,2.3330631571428573e-05,7.282508214285714e-05,5.681059664285714e-06,215.68238714285715,44.610305857142855,-1.5073205657142856,-0.1340530951428571,-4.474285714285714e-05
2.7107051428571427e-05,0.5158511414285715,130622.79428571428,13319.81811142857,2.3256072857142858e-07,2.1608167320000003e-06,64.033637,2.829714071428572e-05,7.390040697142857e-05,6.6425448385714285e-06,215.68231428571428,43.69718928571428,-0.078840857142857,-0.1651507012857142,-3.5226347971428565e-05
2.741828685714285e-05,0.46964909,130623.89214285716,13319.930058571428,2.361898628571429e-07,2.11428289e-06,61.23571771428571,2.4584765642857142e-05,7.345692868571429e-05,5.854161624285715e-06,215.79807,42.900479857142855,0.8580357000000001,-0.1232934712857143,-4.572844414285714e-05
1.5445590285714285e-05,0.2368330242857143,130647.05428571429,13322.291942857144,2.493072328571429e-07,2.497944310714286e-06,52.07847671428571,9.543750585714286e-06,6.167464495714286e-05,2.1560490857142854e-06,216.0925742857143,43.202405428571424,1.8001050571428572,-0.0431590971428571,-3.7008474e-05
1.48697465e-05,0.0535749062857142,130622.20571428572,13319.758095714287,2.562186771428572e-07,2.712782955e-06,31.74695842857143,1.921065285714286e-06,3.268184991428571e-05,3.42733682e-07,216.53696142857143,43.59491842857143,1.6938389285714288,-0.0777949715714285,-1.4622227714285714e-05
1.3626260142857142e-05,0.0015622052857142,130591.83714285714,13316.66136,2.525679442857143e-07,2.793973877142857e-06,17.418203285714288,2.3842299e-07,1.3118620485714286e-05,5.620059285714287e-08,216.7259214285714,43.36128914285714,1.4851669428571428,-0.1067862898571428,-1.15039417e-05
1.2220739714285717e-05,0.0,130544.83714285714,13311.868694285717,2.475358642857143e-07,2.7877865142857146e-06,15.937981142857142,0.0,1.1807290628571428e-05,8.50876957142857e-10,216.79488285714288,42.79731528571429,1.6512439000000003,-0.1135318501428571,-1.504112342857143e-05
1.2683079501428571e-05,0.0,130519.47214285714,13309.282185714286,2.462417700000001e-07,2.89929031e-06,15.800375142857144,0.0,1.2056868257142856e-05,0.0,216.84192857142853,42.376257714285714,1.4233158,-0.1148119471428571,-1.0863608468571427e-05
1.2842046142857142e-05,0.0,130510.19714285714,13308.336398571428,2.4804750571428574e-07,3.0609299285714287e-06,14.669494714285715,0.0,1.14721928e-05,0.0,216.99304142857144,42.011913,0.7951608185714286,-0.1047537677142857,-3.4708180000000004e-06
1.0712788142857144e-05,0.0,130474.08928571428,13304.65442,2.448759871428572e-07,3.205617808571429e-06,13.7308575,0.0,1.1014531314285714e-05,0.0,217.1959842857143,41.42636571428572,0.0032677957142857,-0.0818071022857142,4.421570271428572e-06
